축제명,국가,도시/지역,시기,주제,특징,공식/정보 사이트,개최일
African Fashion Week,나이지리아,라고스,10월,패션/문화,아프리카 최대 패션 위크 행사,https://www.africanfashionweek.com,10/22 ~ 10/26 
Burning Man,미국,네바다(블랙록시티),8월 9월,예술/커뮤니티,사막 임시도시 대형 예술 퍼포먼스,https://burningman.org,08/25 ~ 09/02 
Sundance Film Festival,미국,유타(파크시티),1월 2월,영화,세계 최대 독립영화제,https://festival.sundance.org,01/22 ~ 02/01
Coachella Valley Music and Arts Festival,미국,캘리포니아(인디오),4월,음악/예술,세계적 야외 음악&아트 페스티벌,https://coachella.com,04/11 ~ 04/20
South by Southwest (SXSW),미국,텍사스(오스틴),3월,음악/영화/기술,미디어·음악·테크 융합 대형 컨퍼런스,https://www.sxsw.com,03/07 ~ 03/16
New Orleans Mardi Gras,미국,루이지애나(뉴올리언스),2월 3월,퍼레이드/문화,미국 최대 카니발 퍼레이드,https://www.mardigrasneworleans.com,02/25 ~ 03/04
Albuquerque International Balloon Fiesta,미국,뉴멕시코(앨버커키),10월,불꽃/야외,세계 최대 열기구 축제,https://balloonfiesta.com,10/04 ~ 10/12 
Jazz & Heritage Festival,미국,루이지애나(뉴올리언스),4월 5월,음악/문화,재즈·블루스·가스펠 등 미국 음악축제,https://www.nojazzfest.com,04/25 ~ 05/04
Electric Daisy Carnival (EDC),미국,네바다(라스베이거스),5월,음악(EDM),북미 최대 일렉트로닉 페스티벌,https://lasvegas.electricdaisycarnival.com,05/16 ~ 05/18
Austin City Limits Music Festival,미국,텍사스(오스틴),10월,음악,야외 대형 뮤직페스티벌,https://www.aclfestival.com,10/03 ~ 10/12 
Lollapalooza,미국,일리노이(시카고),8월,음악,글로벌 대형 록/팝 음악제,https://www.lollapalooza.com,08/07 ~ 08/10 
Stagecoach Festival,미국,캘리포니아(인디오),4월,음악(컨트리),미국 대표 컨트리 뮤직페스티벌,https://stagecoachfestival.com,04/25 ~ 04/27
Monterey Jazz Festival,미국,캘리포니아(몬터레이),9월,음악(재즈),세계 최장수 재즈 페스티벌,https://montereyjazzfestival.org,09/19 ~ 09/21 
Road to Ultra,미국,마이애미,3월,음악(EDM),국제적 일렉트로닉 뮤직페스티벌,https://ultramusicfestival.com,03/28
Boston Calling Music Festival,미국,매사추세츠(보스턴),5월,음악,대도시 인디‧록 뮤직,https://bostoncalling.com,05/23 ~ 05/25
Newport Folk Festival,미국,로드아일랜드(뉴포트),7월,음악/포크,포크음악 역사적 야외 뮤직제,https://www.newportfolk.org,07/25 ~ 07/27
Macy’s Thanksgiving Day Parade,미국,뉴욕,11월,퍼레이드,전통적 미국 추수감사절 대형 퍼레이드,https://www.macys.com/parade,11/27 
Essence Festival,미국,루이지애나(뉴올리언스),7월,음악/문화,아프리칸아메리칸 음악·문화제,https://www.essence.com,07/03 ~ 07/06
National Cherry Blossom Festival,미국,워싱턴DC,3월 4월,꽃/문화,벚꽃놀이와 퍼레이드,https://nationalcherryblossomfestival.org,03/20 ~ 04/13
Comic-Con International,미국,캘리포니아(샌디에이고),7월,문화/만화,북미 최대 팝컬처 컨벤션,https://www.comic-con.org,07/24 ~ 07/27
Tribeca Film Festival,미국,뉴욕,6월,영화,국제 독립영화 상영회,https://tribecafilm.com,06/04 ~ 06/15
CMA Music Festival,미국,테네시(내슈빌),6월,음악(컨트리),컨트리 음악계 대형 페스티벌,https://cmafest.com,06/05 ~ 06/08
Governors Ball Music Festival,미국,뉴욕,6월,음악,뉴욕 대표 종합 뮤직페스티벌,https://www.governorsballmusicfestival.com,06/06 ~ 06/08
Outside Lands Music and Arts Festival,미국,캘리포니아(샌프란시스코),8월,음악/음식/아트,도시 대형 복합 예술제,https://sfoutsidelands.com,08/08 ~ 08/10 
BottleRock Napa Valley,미국,캘리포니아(나파),5월,음악/음식,미식+뮤직 페스티벌,https://www.bottlerocknapavalley.com,05/23 ~ 05/25
Winter Carnival (Carnaval de Québec),캐나다,퀘벡시티,2월,전통/겨울,북미 최대 겨울축제,https://carnaval.qc.ca,02/07 ~ 02/16
Canadian National Exhibition (CNE),캐나다,토론토,8월 9월,전통/놀이,캐나다 최대 놀이+농업 박람회,https://www.theex.com,08/15 ~ 09/01 
Montreal International Jazz Festival,캐나다,몬트리올,6월 7월,음악,세계 최대 재즈페스티벌,https://www.montrealjazzfest.com,06/26 ~ 07/06
Calgary Stampede,캐나다,캘거리,7월,전통(로데오)/퍼레이드,캐나다 대표 로데오 대회/퍼레이드,https://www.calgarystampede.com,07/04 ~ 07/13
Celebration of Light,캐나다,밴쿠버,7월 8월,불꽃놀이,국제 불꽃놀이 대회,https://hondacelebrationoflight.com,07/26 ~ 08/02
Ottawa Bluesfest,캐나다,오타와,7월,음악(블루스/팝),오타와 대표음악제,https://ottawabluesfest.ca,07/04 ~ 07/14
Toronto Caribbean Carnival (Caribana),캐나다,토론토,7월 8월,퍼레이드/문화,카리브해 문화 대퍼레이드,https://www.torontocarnival.ca,07/05 ~ 08/04
Sooke Fine Arts Show,캐나다,브리티시컬럼비아(수크),7월 8월,예술/전시,서캐나다 최대 현대 미술제,https://sookefinearts.com,07/26 ~ 08/04
Just for Laughs Festival,캐나다,몬트리올,7월,코미디,세계 최대 코미디 페스티벌,https://www.hahaha.com,07/11 ~ 07/28
Reggae Sumfest,자메이카,몬테고베이,7월,음악(레게),전세계 레게 음악 본고장,https://reggaesumfest.com,07/14 ~ 07/20
Carnaval de Veracruz,멕시코,베라크루스,2월 3월,카니발/퍼레이드,멕시코 최대 카니발 퍼레이드,https://carnavalveracruz.com.mx,02/26 ~ 03/04
Guelaguetza Festival,멕시코,오악사카,7월,전통/민속,멕시코 원주민 문화대표,https://www.guelaguetzaoficial.com,07/21 ~ 07/28
Festival Internacional de Cine de Guanajuato,멕시코,과나후아토,7월,영화,멕시코 대표 국제영화제,https://www.giff.mx,07/18 ~ 07/27
Day of the Dead Festival (Día de Muertos),멕시코,전국,10월 11월,전통/문화,죽은 자의 날 기념행사,https://visitmexico.com/en/main-destinations/dia-de-muertos,10/31 ~ 11/02 
Cervantino Festival,멕시코,과나후아토,10월,예술/음악,라틴 아메리카 최대 예술제,https://festivalcervantino.gob.mx,10/09 ~ 10/27 
Fiestas de Octubre,멕시코,과달라하라,10월,전통/음식/공연,멕시코 대표 종합축제,https://fiestasdeoctubre.mx,10/01 ~ 10/27 
International Mariachi & Charrería Festival,멕시코,과달라하라,8월,음악/전통,마리아치·말타기 대회,https://www.mariachi-jalisco.com.mx,08/23 ~ 09/01 
Rio Carnival,브라질,리우데자네이루,2월 3월,퍼레이드/음악,세계 최대 삼바 카니발,https://riotur.rio,03/01 ~ 03/09
Inti Raymi,페루,쿠스코,6월,전통,잉카 태양제,https://www.intiraymiperu.com,06/24
Carnaval de Oruro,볼리비아,오루로,2월 3월,전통/퍼레이드,볼리비아 최대 카니발,https://www.carnavaldeoruro.bo,02/22 ~ 03/02
Festival de la Vendimia,아르헨티나,멘도사,3월,와인/문화,포도 수확 축제,https://vendimia.mendoza.gov.ar,03/01 ~ 03/10
Fiesta Nacional del Sol,아르헨티나,산후안,2월,태양/문화,지역 최대 문화 축제,https://sol.sanjuan.gov.ar,02/18 ~ 02/24
Festival de Baradero,아르헨티나,바라데로,1월,음악,전국적 유명 음악 축제,https://www.baradero.gob.ar,01/16 ~ 01/19
Festival Internacional de Jazz de Havana,쿠바,아바나,12월,음악(재즈),카리브 재즈 음악 축제,https://www.havanajazzfestival.com,12/14 ~ 12/22 
Festival Vallenato,콜롬비아,발레두파르,4월,음악/전통,콜롬비아 국민 음악 축제,https://www.festivalvallenato.com,04/26 ~ 04/30
Salvador Carnival,브라질,살바도르,2월,퍼레이드/음악,브라질 독특 아프로-가우초 카니발,https://carnavaltur.salvador.ba.gov.br,02/28 ~ 03/05
Festival Internacional de Tango,아르헨티나,부에노스아이레스,8월,음악/춤,세계 최대 탱고 축제,https://festivales.buenosaires.gob.ar,08/15 ~ 09/01 
Festa Junina,브라질,전국,6월,전통/음악,민속 음악과 농촌 풍습 축제,https://www.brazil.travel,06/01 ~ 06/30
Fiesta de San Juan,페루,리마,6월,종교/전통,물 축제 및 전통 의식,https://www.peru.travel,06/24
Festival Nacional de Folklore,아르헨티나,코르도바,2월,전통/음악,국가 민속 축제,https://www.folkloretrukul.com,02/01 ~ 02/09
Festival de la Cultura Afro,콜롬비아,산타마르타,5월,문화/음악,아프로콜롬비아 문화 축제,https://www.culturafestivals.com,05/10 ~ 05/15
Festival del Chocolate,에콰도르,키토,5월,음식/문화,초콜릿 축제 및 전시,https://www.ecuador.travel,05/20 ~ 05/24
Festival de la Patria Vieja,우루과이,몬테비데오,8월,문화/전통,국가 역사 기념 축제,https://www.gub.uy,08/23 ~ 08/30 
Carnaval de Negros y Blancos,콜롬비아,파스토,1월,퍼레이드/문화,문화 다양성 기념 대형 카니발,https://www.colombia.travel,01/02 ~ 01/07
Corpus Christi,페루,쿠스코,6월,종교/전통,잉카와 가톨릭 융합 축제,https://www.peru.travel,06/19
Festival Nacional de la Cumbia,콜롬비아,코르도바,3월,음악,민속 음악 중심 축제,https://www.cumbianacional.com,03/15 ~ 03/20
Festival del Rio,베네수엘라,카라카스,7월,문화/음악,음악과 공연 예술 축제,https://www.inparques.gob.ve,07/08 ~ 07/14
Festival Internacional de Cine de Mar del Plata,아르헨티나,마르델플라타,11월,영화,남미 대표 국제영화제,https://www.mardelplatafilmfest.com,11/07 ~ 11/16 
Fiesta Patronal de la Candelaria,페루,파차카마크,2월,종교/전통,가톨릭과 원주민 문화 융합 축제,https://www.mincetur.gob.pe,02/01 ~ 02/10
Festival Cultural de Negros y Blancos,콜롬비아,파스토,1월,전통/퍼레이드,지역 다문화 카니발,https://www.colombia.travel,01/02 ~ 01/07
Festival Internacional de la Canción Infantil,브라질,산타마리아,11월,음악/어린이,어린이 노래 축제,https://www.santamaria.rs.gov.br,11/20 ~ 11/25 
Festival de las Flores,콜롬비아,메데인,8월,꽃/문화,꽃 축제와 퍼레이드,https://www.medellin.gov.co,08/12 ~ 08/19 
Festival de la Cerveza Artesanal,아르헨티나,부에노스아이레스,10월,음식/음악,수제맥주와 음악 축제,https://www.argentina.gob.ar,10/10 ~ 10/15 
Fiesta de la Vendimia,칠레,메리다,3월,와인/문화,포도 수확과 와인 축제,https://www.chile.travel,03/05 ~ 03/09
Festival de Música del Pacífico Petronio Álvarez,콜롬비아,칼리,8월,음악,태평양 지역 음악 축제,https://www.cali.gov.co,08/14 ~ 08/18 
Festival de la Canción Popular,페루,리마,11월,음악,포크 음악 축제,https://www.peru.travel,11/05 ~ 11/09 
Festival de Cine de Lima,페루,리마,8월,영화,국제 영화제,https://www.festivaldelima.com,08/16 ~ 08/25 
Festival Nacional de Danzas,볼리비아,산타크루즈,8월,전통/춤,전통 춤과 음악 축제,https://www.bolivia.gob.bo,08/20 ~ 08/27 
Festival del Vallenato,콜롬비아,발렌,4월,음악,전통 민속 음악 축제,https://www.festivalvallenato.com,04/26 ~ 04/30
Feria de Cali,콜롬비아,칼리,12월,문화/퍼레이드,지역 대형 축제 갈라,https://www.feriadecali.com,12/25 ~ 12/30 
Festival de Música del Caribe,콜롬비아,산타마르타,7월,음악,카리브해 음악 축제,https://www.santamarta.travel,07/21 ~ 07/25
Carnaval de Barranquilla,콜롬비아,바랑키야,2월,문화/퍼레이드,콜롬비아 최대 카니발,https://www.carnavaldebarranquilla.org,02/22 ~ 02/25
Festival de la Fruta,페루,치클라요,7월,음식/문화,지역 과일 축제,https://www.chiclayo.gob.pe,07/15 ~ 07/20
Festival Folklórico de Iberoamérica,멕시코,과달라하라,6월,음악/춤,이베로아메리카 민속 축제,https://www.festivaliberoamericano.mx,06/10 ~ 06/15
Festival de Teatro de Manizales,콜롬비아,마니살레스,10월,연극/예술,남미 대표 극장 축제,https://www.manizales.gov.co,10/04 ~ 10/12 
Festival Internacional de Música del Amazonas,브라질,마나우스,9월,음악/문화,아마존 음악 및 문화 행사,https://www.manauscultural.com,09/05 ~ 09/10 
Feria Nacional de San Marcos,멕시코,아구아스칼리엔테스,4월,문화/시장,멕시코 전통 축제,https://www.feriasanmarcos.com.mx,04/13 ~ 05/05
Festival Anual de la Canción,에콰도르,키토,11월,음악,전통 음악과 페스티벌,https://www.festivaldecancione2019.com,11/15 ~ 11/20 
Festival Internacional de Teatro de Bogotá,콜롬비아,보고타,10월,연극,남미 최대 연극 축제,https://www.festivaldeteatro.com,10/08 ~ 10/20 
Festival de Viña del Mar,칠레,비냐델마르,2월,음악/문화,라틴아메리카 대표 음악제,https://www.festivaldevinadelmar.cl,02/20 ~ 02/27
Festival del Cacao,에콰도르,포르토비에호,5월,음식/문화,코코아 축제,https://www.turismoe.com,05/15 ~ 05/19
Festival de la Cultura Quechua,페루,쿠스코,8월,문화,케추아족 전통문화 축제,https://www.peru.travel,08/22 ~ 08/26 
Festival Nacional del Folklore,아르헨티나,자파타,2월,민속/음악,국가 민속 축제,https://www.folkloreza.com,02/05 ~ 02/10
Fiesta Nacional de la Vendimia de Cafayate,아르헨티나,카파야테,3월,와인/문화,와인 수확 축제,https://vendimia.cafayate.gob.ar,03/07 ~ 03/11
Festival Nacional de la Sandía,볼리비아,포토시,2월,음식,수박 축제,https://www.potosi.gov.bo,02/01 ~ 02/04
Festival Nacional de Teatro,볼리비아,코차밤바,5월,연극/문화,국가 연극 축제,https://www.teatrobolivia.bo,05/18 ~ 05/24
Festival de la Cerveza,페루,리마,9월,음식/음악,맥주 축제,https://cervezeria.com.pe,09/12 ~ 09/15 
Festival Nuestra Señora de la Candelaria,페루,훌리아카,2월,종교/전통,지역 최대 가톨릭 문화 축제,https://www.candelariafestival.pe,02/01 ~ 02/14
Festival Nacional del Tamborito,파나마,콜론,6월,음악/문화,전통 드럼 축제,https://www.puertorico.com,06/05 ~ 06/08
